Approved Symbol	Approved Name	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Ensembl ID(supplied by Ensembl)
RPL32P13	ribosomal protein L32 pseudogene 13					
RPL32P14	ribosomal protein L32 pseudogene 14					ENSG00000242654
RPL32P15	ribosomal protein L32 pseudogene 15					
RPL32P16	ribosomal protein L32 pseudogene 16					
RPL32P17	ribosomal protein L32 pseudogene 17					
RPL32P18	ribosomal protein L32 pseudogene 18					
RPL32P19	ribosomal protein L32 pseudogene 19					
RPL32P20	ribosomal protein L32 pseudogene 20					
RPL32P21	ribosomal protein L32 pseudogene 21					
RPL32P22	ribosomal protein L32 pseudogene 22					
RPL32P23	ribosomal protein L32 pseudogene 23					
RPL32P24	ribosomal protein L32 pseudogene 24					
RPL32P25	ribosomal protein L32 pseudogene 25					
RPL32P26	ribosomal protein L32 pseudogene 26					ENSG00000241941
RPL32P27	ribosomal protein L32 pseudogene 27					
RPL32P28	ribosomal protein L32 pseudogene 28					ENSG00000232105
RPL32P29	ribosomal protein L32 pseudogene 29					ENSG00000244270
RPL32P30	ribosomal protein L32 pseudogene 30					
RPL32P31	ribosomal protein L32 pseudogene 31					ENSG00000213128
RPL32P32	ribosomal protein L32 pseudogene 32					
RPL32P33	ribosomal protein L32 pseudogene 33					ENSG00000243514
RPL32P34	ribosomal protein L32 pseudogene 34					ENSG00000239524
RPL32P35	ribosomal protein L32 pseudogene 35					ENSG00000223995
RPL32P36	ribosomal protein L32 pseudogene 36					
RPL34	ribosomal protein L34			L34		ENSG00000109475
RPL34-AS1	RPL34 antisense RNA 1 (head to head)		"RPL34 antisense RNA 1 (non-protein coding)", "RPL34 antisense RNA 1"	FLJ37673		ENSG00000234492
RPL34P1	ribosomal protein L34 pseudogene 1					ENSG00000237049
RPL34P2	ribosomal protein L34 pseudogene 2					
RPL34P3	ribosomal protein L34 pseudogene 3					ENSG00000223671
RPL34P4	ribosomal protein L34 pseudogene 4					
RPL34P5	ribosomal protein L34 pseudogene 5					
RPL34P6	ribosomal protein L34 pseudogene 6					ENSG00000231333
RPL34P7	ribosomal protein L34 pseudogene 7					
RPL34P8	ribosomal protein L34 pseudogene 8					
RPL34P9	ribosomal protein L34 pseudogene 9					
RPL34P10	ribosomal protein L34 pseudogene 10					
RPL34P11	ribosomal protein L34 pseudogene 11					
RPL34P12	ribosomal protein L34 pseudogene 12					
RPL34P13	ribosomal protein L34 pseudogene 13					
RPL34P14	ribosomal protein L34 pseudogene 14					
RPL34P15	ribosomal protein L34 pseudogene 15					
RPL34P16	ribosomal protein L34 pseudogene 16					
RPL34P17	ribosomal protein L34 pseudogene 17					ENSG00000240534
RPL34P18	ribosomal protein L34 pseudogene 18					ENSG00000240509
RPL34P19	ribosomal protein L34 pseudogene 19					
RPL34P20	ribosomal protein L34 pseudogene 20					
RPL34P21	ribosomal protein L34 pseudogene 21					ENSG00000244451
RPL34P22	ribosomal protein L34 pseudogene 22					ENSG00000244267
RPL34P23	ribosomal protein L34 pseudogene 23					ENSG00000243669
RPL34P24	ribosomal protein L34 pseudogene 24					
RPL34P25	ribosomal protein L34 pseudogene 25					
RPL34P26	ribosomal protein L34 pseudogene 26					ENSG00000223676
RPL34P27	ribosomal protein L34 pseudogene 27					ENSG00000232858
RPL34P28	ribosomal protein L34 pseudogene 28					
RPL34P29	ribosomal protein L34 pseudogene 29					ENSG00000244551
RPL34P30	ribosomal protein L34 pseudogene 30					
RPL34P31	ribosomal protein L34 pseudogene 31					ENSG00000239223
RPL34P32	ribosomal protein L34 pseudogene 32					
RPL34P33	ribosomal protein L34 pseudogene 33					ENSG00000241282
RPL34P34	ribosomal protein L34 pseudogene 34					ENSG00000236312
RPL34P35	ribosomal protein L34 pseudogene 35					
RPL35	ribosomal protein L35			L35	"60S ribosomal protein L35"	ENSG00000136942
RPL35A	ribosomal protein L35a			L35A		ENSG00000182899
RPL35AP	ribosomal protein L35a pseudogene			bA456N23.1		ENSG00000234075
RPL35AP2	ribosomal protein L35a pseudogene 2			bA571F15.2		
RPL35AP3	ribosomal protein L35a pseudogene 3			bA55K22.4		ENSG00000230350
RPL35AP4	ribosomal protein L35a pseudogene 4			BPG294E21.7, OTTHUMG00000140156		
RPL35AP5	ribosomal protein L35a pseudogene 5					
RPL35AP6	ribosomal protein L35a pseudogene 6					
RPL35AP7	ribosomal protein L35a pseudogene 7					
RPL35AP8	ribosomal protein L35a pseudogene 8					
RPL35AP9	ribosomal protein L35a pseudogene 9					
RPL35AP10	ribosomal protein L35a pseudogene 10					
RPL35AP11	ribosomal protein L35a pseudogene 11					
RPL35AP12	ribosomal protein L35a pseudogene 12					ENSG00000227283
RPL35AP13	ribosomal protein L35a pseudogene 13					
RPL35AP14	ribosomal protein L35a pseudogene 14					
RPL35AP15	ribosomal protein L35a pseudogene 15					ENSG00000243758
RPL35AP16	ribosomal protein L35a pseudogene 16					
RPL35AP17	ribosomal protein L35a pseudogene 17					
RPL35AP18	ribosomal protein L35a pseudogene 18					ENSG00000220311
RPL35AP19	ribosomal protein L35a pseudogene 19					ENSG00000239872
RPL35AP20	ribosomal protein L35a pseudogene 20					
RPL35AP21	ribosomal protein L35a pseudogene 21					ENSG00000229814
RPL35AP22	ribosomal protein L35a pseudogene 22					ENSG00000235133
RPL35AP23	ribosomal protein L35a pseudogene 23					
RPL35AP24	ribosomal protein L35a pseudogene 24					
RPL35AP25	ribosomal protein L35a pseudogene 25					
RPL35AP26	ribosomal protein L35a pseudogene 26					ENSG00000243607
RPL35AP27	ribosomal protein L35a pseudogene 27					
RPL35AP28	ribosomal protein L35a pseudogene 28					
RPL35AP29	ribosomal protein L35a pseudogene 29					
RPL35AP30	ribosomal protein L35a pseudogene 30					ENSG00000226729
RPL35AP31	ribosomal protein L35a pseudogene 31					ENSG00000233460
RPL35AP32	ribosomal protein L35a pseudogene 32					ENSG00000243404
RPL35AP33	ribosomal protein L35a pseudogene 33					ENSG00000241334
RPL35AP34	ribosomal protein L35a pseudogene 34					
RPL35AP35	ribosomal protein L35a pseudogene 35					ENSG00000239256
RPL35AP36	ribosomal protein L35a pseudogene 36					
RPL35AP37	ribosomal protein L35a pseudogene 37					
RPL35P1	ribosomal protein L35 pseudogene 1					ENSG00000237991
RPL35P2	ribosomal protein L35 pseudogene 2					ENSG00000220583
RPL35P3	ribosomal protein L35 pseudogene 3					ENSG00000219902
RPL35P4	ribosomal protein L35 pseudogene 4					ENSG00000213783
RPL35P5	ribosomal protein L35 pseudogene 5					ENSG00000225573
RPL35P6	ribosomal protein L35 pseudogene 6					ENSG00000244018
RPL35P7	ribosomal protein L35 pseudogene 7					
RPL35P8	ribosomal protein L35 pseudogene 8					ENSG00000226142
RPL35P9	ribosomal protein L35 pseudogene 9					ENSG00000174418
RPL36	ribosomal protein L36			DKFZp566B023, L36		ENSG00000130255
RPL36A	ribosomal protein L36a	RPL44	"ribosomal protein L44"	L36A		
RPL36A-HNRNPH2	RPL36A-HNRNPH2 readthrough					
RPL36AL	ribosomal protein L36a-like	RPL36A	"ribosomal protein L36a"			ENSG00000165502
RPL36AP1	ribosomal protein L36a pseudogene 1					
RPL36AP2	ribosomal protein L36a pseudogene 2					
RPL36AP4	ribosomal protein L36a pseudogene 4					
RPL36AP5	ribosomal protein L36a pseudogene 5			bA256G5.1		
RPL36AP6	ribosomal protein L36a pseudogene 6			bA380I20.1		ENSG00000231293
RPL36AP7	ribosomal protein L36a pseudogene 7					
RPL36AP8	ribosomal protein L36a pseudogene 8					
RPL36AP9	ribosomal protein L36a pseudogene 9					
RPL36AP10	ribosomal protein L36a pseudogene 10					ENSG00000237959
RPL36AP11	ribosomal protein L36a pseudogene 11					
RPL36AP12	ribosomal protein L36a pseudogene 12					
RPL36AP13	ribosomal protein L36a pseudogene 13					ENSG00000233747
RPL36AP14	ribosomal protein L36a pseudogene 14					
RPL36AP15	ribosomal protein L36a pseudogene 15					ENSG00000235369
RPL36AP16	ribosomal protein L36a pseudogene 16					
RPL36AP17	ribosomal protein L36a pseudogene 17					
RPL36AP18	ribosomal protein L36a pseudogene 18					
RPL36AP19	ribosomal protein L36a pseudogene 19					
RPL36AP20	ribosomal protein L36a pseudogene 20					
RPL36AP21	ribosomal protein L36a pseudogene 21					ENSG00000240785
RPL36AP23	ribosomal protein L36a pseudogene 23					
RPL36AP24	ribosomal protein L36a pseudogene 24					
RPL36AP25	ribosomal protein L36a pseudogene 25					
RPL36AP26	ribosomal protein L36a pseudogene 26					ENSG00000235828
RPL36AP27	ribosomal protein L36a pseudogene 27					
RPL36AP28	ribosomal protein L36a pseudogene 28					
RPL36AP29	ribosomal protein L36a pseudogene 29					ENSG00000224683
RPL36AP30	ribosomal protein L36a pseudogene 30					
RPL36AP31	ribosomal protein L36a pseudogene 31					
RPL36AP32	ribosomal protein L36a pseudogene 32					
RPL36AP33	ribosomal protein L36a pseudogene 33					ENSG00000235619
RPL36AP34	ribosomal protein L36a pseudogene 34					
RPL36AP35	ribosomal protein L36a pseudogene 35					ENSG00000231810
RPL36AP36	ribosomal protein L36a pseudogene 36					
RPL36AP37	ribosomal protein L36a pseudogene 37					
RPL36AP38	ribosomal protein L36a pseudogene 38					
RPL36AP39	ribosomal protein L36a pseudogene 39					ENSG00000230980
RPL36AP40	ribosomal protein L36a pseudogene 40					ENSG00000240298
RPL36AP41	ribosomal protein L36a pseudogene 41					ENSG00000242087
RPL36AP42	ribosomal protein L36a pseudogene 42					
RPL36AP43	ribosomal protein L36a pseudogene 43					ENSG00000241362
RPL36AP44	ribosomal protein L36a pseudogene 44					
RPL36AP45	ribosomal protein L36a pseudogene 45					ENSG00000240366
RPL36AP46	ribosomal protein L36a pseudogene 46					
RPL36AP47	ribosomal protein L36a pseudogene 47					
RPL36AP48	ribosomal protein L36a pseudogene 48					ENSG00000213180
RPL36AP49	ribosomal protein L36a pseudogene 49					
RPL36AP50	ribosomal protein L36a pseudogene 50					
RPL36AP51	ribosomal protein L36a pseudogene 51					ENSG00000242291
RPL36AP53	ribosomal protein L36a pseudogene 53					
RPL36AP54	ribosomal protein L36a pseudogene 54					
RPL36AP55	ribosomal protein L36a pseudogene 55					ENSG00000226016
RPL36P1	ribosomal protein L36 pseudogene 1			bA80K6.3		ENSG00000230636
RPL36P2	ribosomal protein L36 pseudogene 2			dJ530I15.5		ENSG00000231302
RPL36P3	ribosomal protein L36 pseudogene 3	RPL36AP3	"ribosomal protein L36a pseudogene 3"			
RPL36P4	ribosomal protein L36 pseudogene 4			dJ477O4.3		ENSG00000224497
RPL36P5	ribosomal protein L36 pseudogene 5					
RPL36P6	ribosomal protein L36 pseudogene 6					
RPL36P7	ribosomal protein L36 pseudogene 7					
RPL36P8	ribosomal protein L36 pseudogene 8					
RPL36P9	ribosomal protein L36 pseudogene 9					
RPL36P10	ribosomal protein L36 pseudogene 10					
RPL36P11	ribosomal protein L36 pseudogene 11					
RPL36P12	ribosomal protein L36 pseudogene 12					
RPL36P13	ribosomal protein L36 pseudogene 13					
RPL36P14	ribosomal protein L36 pseudogene 14					
RPL36P15	ribosomal protein L36 pseudogene 15					
RPL36P16	ribosomal protein L36 pseudogene 16					ENSG00000224476
RPL36P17	ribosomal protein L36 pseudogene 17					
RPL36P18	ribosomal protein L36 pseudogene 18					
RPL36P19	ribosomal protein L36 pseudogene 19					ENSG00000232540
RPL36P20	ribosomal protein L36 pseudogene 20					ENSG00000234270
RPL37	ribosomal protein L37			L37	"60S ribosomal protein L37a"	ENSG00000145592
RPL37A	ribosomal protein L37a			L37A		ENSG00000197756
RPL37AP1	ribosomal protein L37a pseudogene 1			dJ1013A22.4		ENSG00000226243
RPL37AP2	ribosomal protein L37a pseudogene 2					
RPL37AP3	ribosomal protein L37a pseudogene 3					
RPL37AP4	ribosomal protein L37a pseudogene 4					
RPL37AP5	ribosomal protein L37a pseudogene 5					
RPL37AP6	ribosomal protein L37a pseudogene 6					
RPL37AP7	ribosomal protein L37a pseudogene 7					
RPL37AP8	ribosomal protein L37a pseudogene 8					
RPL37AP9	ribosomal protein L37a pseudogene 9					
RPL37P1	ribosomal protein L37 pseudogene 1			bA563A22B.2		ENSG00000227401
RPL37P2	ribosomal protein L37 pseudogene 2			PSANK1		ENSG00000239559
RPL37P3	ribosomal protein L37 pseudogene 3			RL37P		ENSG00000215369
RPL37P4	ribosomal protein L37 pseudogene 4			RL37P2		ENSG00000230198
RPL37P5	ribosomal protein L37 pseudogene 5					
RPL37P6	ribosomal protein L37 pseudogene 6					
RPL37P7	ribosomal protein L37 pseudogene 7					
RPL37P8	ribosomal protein L37 pseudogene 8					
RPL37P9	ribosomal protein L37 pseudogene 9					
RPL37P10	ribosomal protein L37 pseudogene 10					ENSG00000224627
RPL37P11	ribosomal protein L37 pseudogene 11					
RPL37P12	ribosomal protein L37 pseudogene 12					
RPL37P13	ribosomal protein L37 pseudogene 13					
RPL37P14	ribosomal protein L37 pseudogene 14					
RPL37P15	ribosomal protein L37 pseudogene 15					ENSG00000216365
RPL37P16	ribosomal protein L37 pseudogene 16					
RPL37P17	ribosomal protein L37 pseudogene 17					
RPL37P18	ribosomal protein L37 pseudogene 18					
RPL37P19	ribosomal protein L37 pseudogene 19					
RPL37P20	ribosomal protein L37 pseudogene 20					
RPL37P21	ribosomal protein L37 pseudogene 21					ENSG00000236433
RPL37P22	ribosomal protein L37 pseudogene 22					
RPL37P23	ribosomal protein L37 pseudogene 23					ENSG00000243680
RPL37P24	ribosomal protein L37 pseudogene 24					
RPL37P25	ribosomal protein L37 pseudogene 25					ENSG00000251597
RPL38	ribosomal protein L38			L38		ENSG00000172809
RPL38P1	ribosomal protein L38 pseudogene 1					ENSG00000241993
RPL38P2	ribosomal protein L38 pseudogene 2					
RPL38P3	ribosomal protein L38 pseudogene 3					ENSG00000244422
RPL38P4	ribosomal protein L38 pseudogene 4					ENSG00000250562
RPL39	ribosomal protein L39	RPL39P42	"ribosomal protein L39 pseudogene 42"	L39		ENSG00000198918
RPL39L	ribosomal protein L39-like	RPL39L1	"ribosomal protein L39-like 1"			ENSG00000163923
RPL39P	ribosomal protein L39 pseudogene			dJ1167H4.5		ENSG00000228601
RPL39P2	ribosomal protein L39 pseudogene 2					
RPL39P3	ribosomal protein L39 pseudogene 3			Em:AC019205.3		ENSG00000235174
RPL39P4	ribosomal protein L39 pseudogene 4					
RPL39P5	ribosomal protein L39 pseudogene 5					ENSG00000214289
RPL39P6	ribosomal protein L39 pseudogene 6					ENSG00000238173
RPL39P7	ribosomal protein L39 pseudogene 7					
RPL39P8	ribosomal protein L39 pseudogene 8					
RPL39P9	ribosomal protein L39 pseudogene 9					
RPL39P10	ribosomal protein L39 pseudogene 10					
RPL39P11	ribosomal protein L39 pseudogene 11					
RPL39P12	ribosomal protein L39 pseudogene 12					
RPL39P13	ribosomal protein L39 pseudogene 13					
RPL39P14	ribosomal protein L39 pseudogene 14					
RPL39P15	ribosomal protein L39 pseudogene 15					
RPL39P16	ribosomal protein L39 pseudogene 16					
RPL39P17	ribosomal protein L39 pseudogene 17					
RPL39P18	ribosomal protein L39 pseudogene 18					
RPL39P19	ribosomal protein L39 pseudogene 19					
RPL39P20	ribosomal protein L39 pseudogene 20					
RPL39P21	ribosomal protein L39 pseudogene 21					
RPL39P22	ribosomal protein L39 pseudogene 22					
RPL39P23	ribosomal protein L39 pseudogene 23					
RPL39P24	ribosomal protein L39 pseudogene 24					
RPL39P25	ribosomal protein L39 pseudogene 25					ENSG00000227271
RPL39P26	ribosomal protein L39 pseudogene 26					ENSG00000240454
RPL39P27	ribosomal protein L39 pseudogene 27					
RPL39P28	ribosomal protein L39 pseudogene 28					ENSG00000244432
RPL39P29	ribosomal protein L39 pseudogene 29					ENSG00000236860
RPL39P30	ribosomal protein L39 pseudogene 30					
RPL39P31	ribosomal protein L39 pseudogene 31					ENSG00000242176
RPL39P32	ribosomal protein L39 pseudogene 32					
RPL39P33	ribosomal protein L39 pseudogene 33					ENSG00000243058
RPL39P34	ribosomal protein L39 pseudogene 34					ENSG00000242255
RPL39P35	ribosomal protein L39 pseudogene 35					
RPL39P36	ribosomal protein L39 pseudogene 36					ENSG00000239912
RPL39P37	ribosomal protein L39 pseudogene 37					
RPL39P38	ribosomal protein L39 pseudogene 38					ENSG00000241464
RPL39P39	ribosomal protein L39 pseudogene 39					
RPL39P40	ribosomal protein L39 pseudogene 40					ENSG00000226580
RPL39P41	ribosomal protein L39 pseudogene 41					
RPL39P42~withdrawn	symbol withdrawn, see RPL39					
RPL41	ribosomal protein L41			L41		ENSG00000229117
RPL41L2~withdrawn	symbol withdrawn, see RPL41P1					
RPL41P1	ribosomal protein L41 pseudogene 1	RPL41L2	"ribosomal protein L41-like 2"			ENSG00000227063
RPL41P2	ribosomal protein L41 pseudogene 2					
RPL41P3	ribosomal protein L41 pseudogene 3					
RPL41P4	ribosomal protein L41 pseudogene 4					
RPL41P5	ribosomal protein L41 pseudogene 5	RPL41L	"ribosomal protein L41-like"			
RPL41P6	ribosomal protein L41 pseudogene 6					
RPL41P7	ribosomal protein L41 pseudogene 7					
RPLP0	ribosomal protein, large, P0			PRLP0, P0, L10E, RPP0, LP0	"acidic ribosomal phosphoprotein P0"	ENSG00000089157
RPLP1	ribosomal protein, large, P1			LP1		ENSG00000137818
RPLP1L1~withdrawn	entry withdrawn					
RPLP1L2~withdrawn	entry withdrawn					
RPLP1L3~withdrawn	entry withdrawn					
RPLP1L4~withdrawn	entry withdrawn					
RPLP1P1	ribosomal protein, large, P1 pseudogene 1					
RPLP1P2	ribosomal protein, large, P1 pseudogene 2					
RPLP1P3	ribosomal protein, large, P1 pseudogene 3					
RPLP1P4	ribosomal protein, large, P1 pseudogene 4					
RPLP1P5	ribosomal protein, large, P1 pseudogene 5					
RPLP1P6	ribosomal protein, large, P1 pseudogene 6					
RPLP1P7	ribosomal protein, large, P1 pseudogene 7					
RPLP1P8	ribosomal protein, large, P1 pseudogene 8					
RPLP1P9	ribosomal protein, large, P1 pseudogene 9					
RPLP1P10	ribosomal protein, large, P1 pseudogene 10					
RPLP1P11	ribosomal protein, large, P1 pseudogene 11					ENSG00000243686
RPLP1P12	ribosomal protein, large, P1 pseudogene 12					
RPLP1P13	ribosomal protein, large, P1 pseudogene 13					ENSG00000232163
RPLP2	ribosomal protein, large, P2	D11S2243E		P2, RPP2, MGC71408, LP2	"60S acidic ribosomal protein P2", "acidic ribosomal phosphoprotein P2"	ENSG00000177600
RPLP2P1	ribosomal protein, large P2, pseudogene 1			dJ408B20.3		ENSG00000214374
RPLP2P2	ribosomal protein, large, P2 pseudogene 2					
RPLP2P3	ribosomal protein, large, P2 pseudogene 3					
RPLP2P4	ribosomal protein, large, P2 pseudogene 4					
RPLP2P5	ribosomal protein, large, P2 pseudogene 5					
RPLP0P1	ribosomal protein, large, P0 pseudogene 1			dJ777L9.2		ENSG00000226229
RPLP0P2	ribosomal protein, large, P0 pseudogene 2					ENSG00000243742
RPLP0P3	ribosomal protein, large, P0 pseudogene 3					
RPLP0P4	ribosomal protein, large, P0 pseudogene 4					
RPLP0P5	ribosomal protein, large, P0 pseudogene 5					
RPLP0P6	ribosomal protein, large, P0 pseudogene 6					ENSG00000213553
RPLP0P7	ribosomal protein, large, P0 pseudogene 7					ENSG00000238069
RPLP0P8	ribosomal protein, large, P0 pseudogene 8					
RPLP0P10	ribosomal protein, large, P0 pseudogene 10					
RPLP0P11	ribosomal protein, large, P0 pseudogene 11					ENSG00000239780
RPML3~withdrawn	symbol withdrawn, see MRPL3					
RPML12~withdrawn	symbol withdrawn, see MRPL12					
RPMS12~withdrawn	symbol withdrawn, see MRPS12					
RPN1	ribophorin I			OST1	"oligosaccharyltransferase 1 homolog (S. cerevisiae)", "oligosaccharyltransferase complex subunit (non-catalytic)"	ENSG00000163902
RPN2	ribophorin II			SWP1, RPNII, RIBIIR, RPN-II	"oligosaccharyltransferase complex subunit (non-catalytic)"	ENSG00000118705
RPP14	ribonuclease P/MRP 14kDa subunit		"ribonuclease P 14kDa subunit"	P14		ENSG00000163684
RPP21	ribonuclease P/MRP 21kDa subunit	C6orf135	"chromosome 6 open reading frame 135", "ribonuclease P 21kDa subunit"	FLJ22638, Em:AB014085.3		
RPP25	ribonuclease P/MRP 25kDa subunit		"ribonuclease P 25kDa subunit"	FLJ20374	"RNase P protein subunit p25"	ENSG00000178718
RPP25L	ribonuclease P/MRP 25kDa subunit-like	C9orf23	"chromosome 9 open reading frame 23"	bA296L22.5, MGC29635		ENSG00000164967
RPP30	ribonuclease P/MRP 30kDa subunit			TSG15		ENSG00000148688
RPP38	ribonuclease P/MRP 38kDa subunit					ENSG00000152464
RPP40	ribonuclease P/MRP 40kDa subunit	RNASEP1	"ribonuclease P1", "ribonuclease P 40kDa subunit"	bA428J1.3		ENSG00000124787
RPP40P1	ribonuclease P/MRP 40kDa subunit pseudogene 1					ENSG00000229310
RPP40P2	ribonuclease P/MRP 40kDa subunit pseudogene 2					ENSG00000271190
RPPH1	ribonuclease P RNA component H1			H1RNA, RPPH1-1		ENSG00000259001
RPPH1-2P	ribonuclease P RNA component H1, 2 pseudogene					ENSG00000252497
RPPH1-3P	ribonuclease P RNA component H1, 3 pseudogene					ENSG00000252350
RPRD1A	regulation of nuclear pre-mRNA domain containing 1A			P15RS, FLJ10656, HsT3101	"cyclin-dependent kinase 2B-inhibitor-related protein", "Cyclin-dependent kinase inhibitor 2B-related protein (p15INK4B-related protein)"	ENSG00000141425
RPRD1B	regulation of nuclear pre-mRNA domain containing 1B	C20orf77	"chromosome 20 open reading frame 77"	dJ1057B20.2, DKFZp434P0735, CREPT, FLJ44520, NET60		ENSG00000101413
RPRD2	regulation of nuclear pre-mRNA domain containing 2	KIAA0460	"KIAA0460"	FLJ32145, HSPC099		
RPRM	reprimo, TP53 dependent G2 arrest mediator candidate		"reprimo, TP53 dependant G2 arrest mediator candidate"	FLJ90327, REPRIMO	"candidate mediator of the p53 dependent G2 arrest", "REPRIMO"	ENSG00000177519
RPRML	reprimo-like			MGC43894		ENSG00000179673
RPS1L~withdrawn	entry withdrawn					
RPS2	ribosomal protein S2			LLREP3, S2		ENSG00000140988
RPS2P1	ribosomal protein S2 pseudogene 1			dJ64K7.1		ENSG00000225246
RPS2P2	ribosomal protein S2 pseudogene 2					ENSG00000177776
RPS2P3	ribosomal protein S2 pseudogene 3					
RPS2P4	ribosomal protein S2 pseudogene 4					ENSG00000196183
RPS2P5	ribosomal protein S2 pseudogene 5			bcm384		ENSG00000240342
RPS2P6	ribosomal protein S2 pseudogene 6					ENSG00000214255
RPS2P7	ribosomal protein S2 pseudogene 7	RPS2L1	"ribosomal protein S2-like 1"	dJ688G8.1		ENSG00000235508
RPS2P8	ribosomal protein S2 pseudogene 8					
RPS2P9	ribosomal protein S2 pseudogene 9					
RPS2P10	ribosomal protein S2 pseudogene 10					
RPS2P11	ribosomal protein S2 pseudogene 11					
RPS2P12	ribosomal protein S2 pseudogene 12					
RPS2P13	ribosomal protein S2 pseudogene 13					
RPS2P14	ribosomal protein S2 pseudogene 14					
RPS2P15	ribosomal protein S2 pseudogene 15					
RPS2P16	ribosomal protein S2 pseudogene 16					
RPS2P17	ribosomal protein S2 pseudogene 17					
RPS2P18	ribosomal protein S2 pseudogene 18					
RPS2P19	ribosomal protein S2 pseudogene 19					
RPS2P20	ribosomal protein S2 pseudogene 20					
RPS2P21	ribosomal protein S2 pseudogene 21					
RPS2P22	ribosomal protein S2 pseudogene 22					
RPS2P23	ribosomal protein S2 pseudogene 23					
RPS2P24	ribosomal protein S2 pseudogene 24					ENSG00000244019
RPS2P25	ribosomal protein S2 pseudogene 25					ENSG00000241965
RPS2P26	ribosomal protein S2 pseudogene 26					
RPS2P27	ribosomal protein S2 pseudogene 27					
RPS2P28	ribosomal protein S2 pseudogene 28					ENSG00000179157
RPS2P29	ribosomal protein S2 pseudogene 29					
RPS2P30	ribosomal protein S2 pseudogene 30					
RPS2P31	ribosomal protein S2 pseudogene 31					
RPS2P32	ribosomal protein S2 pseudogene 32			MGC27348		ENSG00000232818
RPS2P33	ribosomal protein S2 pseudogene 33					
RPS2P34	ribosomal protein S2 pseudogene 34					
RPS2P35	ribosomal protein S2 pseudogene 35					ENSG00000238172
RPS2P36	ribosomal protein S2 pseudogene 36					
RPS2P37	ribosomal protein S2 pseudogene 37					
RPS2P38	ribosomal protein S2 pseudogene 38					
RPS2P39	ribosomal protein S2 pseudogene 39					ENSG00000240698
RPS2P40	ribosomal protein S2 pseudogene 40					
RPS2P41	ribosomal protein S2 pseudogene 41					ENSG00000244060
RPS2P42	ribosomal protein S2 pseudogene 42					
RPS2P43	ribosomal protein S2 pseudogene 43					
RPS2P44	ribosomal protein S2 pseudogene 44					ENSG00000243609
RPS2P45	ribosomal protein S2 pseudogene 45			FLJ12331		ENSG00000244378
RPS2P46	ribosomal protein S2 pseudogene 46					ENSG00000189343
RPS2P47	ribosomal protein S2 pseudogene 47					
RPS2P48	ribosomal protein S2 pseudogene 48					ENSG00000233380
RPS2P49	ribosomal protein S2 pseudogene 49					
RPS2P50	ribosomal protein S2 pseudogene 50					
RPS2P51	ribosomal protein S2 pseudogene 51					
RPS2P52	ribosomal protein S2 pseudogene 52					ENSG00000213726
RPS2P53	ribosomal protein S2 pseudogene 53					
RPS2P54	ribosomal protein S2 pseudogene 54					
RPS2P55	ribosomal protein S2 pseudogene 55					ENSG00000216866
RPS3	ribosomal protein S3			FLJ26283, FLJ27450, MGC87870, S3	"IMR-90 ribosomal protein S3", "40S ribosomal protein S3"	ENSG00000149273
RPS3A	ribosomal protein S3A	MFTL		S3A		ENSG00000145425
RPS3AP1	ribosomal protein S3A pseudogene 1	RPS3AP	"ribosomal protein S3A pseudogene"			ENSG00000233206
RPS3AP2	ribosomal protein S3A pseudogene 2					ENSG00000219027
RPS3AP3	ribosomal protein S3A pseudogene 3			bA332A4.2		ENSG00000231241
RPS3AP4	ribosomal protein S3A pseudogene 4					ENSG00000259105
RPS3AP5	ribosomal protein S3A pseudogene 5			bA486O22.3		ENSG00000178429
RPS3AP6	ribosomal protein S3A pseudogene 6					ENSG00000234797
RPS3AP7	ribosomal protein S3a pseudogene 7					
RPS3AP8	ribosomal protein S3a pseudogene 8					
RPS3AP9	ribosomal protein S3a pseudogene 9					ENSG00000231022
RPS3AP10	ribosomal protein S3a pseudogene 10					
RPS3AP11	ribosomal protein S3a pseudogene 11					
RPS3AP12	ribosomal protein S3a pseudogene 12					ENSG00000236804
RPS3AP14	ribosomal protein S3a pseudogene 14					ENSG00000242229
RPS3AP15	ribosomal protein S3a pseudogene 15					ENSG00000244674
RPS3AP16	ribosomal protein S3a pseudogene 16					
RPS3AP17	ribosomal protein S3a pseudogene 17					ENSG00000244031
RPS3AP18	ribosomal protein S3a pseudogene 18					
RPS3AP19	ribosomal protein S3a pseudogene 19					
RPS3AP20	ribosomal protein S3a pseudogene 20					
RPS3AP21	ribosomal protein S3a pseudogene 21					
RPS3AP22	ribosomal protein S3a pseudogene 22					ENSG00000240083
RPS3AP23	ribosomal protein S3a pseudogene 23					ENSG00000218351
RPS3AP24	ribosomal protein S3a pseudogene 24					ENSG00000217684
RPS3AP25	ribosomal protein S3a pseudogene 25					ENSG00000232385
RPS3AP26	ribosomal protein S3a pseudogene 26					ENSG00000214389
RPS3AP27	ribosomal protein S3a pseudogene 27					
RPS3AP28	ribosomal protein S3a pseudogene 28					
RPS3AP29	ribosomal protein S3a pseudogene 29					ENSG00000237818
RPS3AP30	ribosomal protein S3a pseudogene 30					ENSG00000228744
RPS3AP31	ribosomal protein S3a pseudogene 31					
RPS3AP32	ribosomal protein S3a pseudogene 32					ENSG00000240047
RPS3AP33	ribosomal protein S3a pseudogene 33					ENSG00000214268
